iter	Passed	Remaining
339	1572	3053
340	1577	3049
341	1581	3043
342	1586	3039
343	1591	3035
344	1596	3030
345	1600	3024
346	1604	3019
347	1609	3015
348	1613	3010
349	1618	3005
350	1622	3000
351	1626	2994
352	1630	2988
353	1635	2983
354	1638	2977
355	1643	2972
356	1647	2967
357	1652	2962
358	1656	2956
359	1660	2951
360	1664	2946
361	1669	2941
362	1674	2938
363	1678	2932
364	1683	2928
365	1687	2922
366	1691	2918
367	1696	2913
368	1700	2908
369	1704	2902
370	1710	2900
371	1715	2895
372	1719	2890
373	1724	2886
374	1728	2881
375	1733	2876
376	1738	2872
377	1744	2870
378	1750	2868
379	1755	2863
380	1760	2860
381	1766	2857
382	1771	2853
383	1776	2849
384	1781	2845
385	1785	2840
386	1789	2834
387	1794	2830
388	1798	2824
389	1803	2820
390	1808	2817
391	1814	2813
392	1819	2809
393	1823	2804
394	1828	2800
395	1832	2794
396	1836	2790
397	1841	2784
398	1845	2779
399	1848	2773
400	1853	2768
401	1857	2763
402	1861	2757
403	1865	2752
404	1871	2748
405	1876	2745
406	1881	2741
407	1886	2736
408	1890	2732
409	1894	2726
410	1899	2722
411	1903	2716
412	1907	2710
413	1911	2705
414	1915	2700
415	1920	2696
416	1926	2692
417	1931	2689
418	1936	2685
419	1941	2681
420	1946	2676
421	1951	2673
422	1956	2669
423	1961	2664
424	1975	2672
425	1980	2668
426	1986	2665
427	1990	2660
428	1995	2656
429	2001	2653
430	2007	2650
431	2012	2645
432	2016	2641
433	2021	2635
434	2025	2631
435	2030	2626
436	2034	2621
437	2039	2616
438	2043	2611
439	2048	2607
440	2053	2603
441	2057	2597
442	2061	2592
443	2066	2587
444	2070	2581
445	2074	2576
446	2078	2571
447	2083	2567
448	2087	2562
449	2092	2557
450	2096	2552
451	2101	2547
452	2106	2543
453	2111	2538
454	2115	2533
455	2119	2528
456	2123	2522
457	2127	2518
458	2132	2513
459	2138	2509
460	2143	2506
461	2148	2501
462	2153	2497
463	2157	2492
464	2161	2487
465	2165	2481
466	2169	2476
467	2174	2472
468	2178	2466
469	2183	2461
470	2187	2456
471	2191	2451
472	2195	2446
473	2199	2441
474	2203	2435
475	2207	2430
476	2211	2425
477	2216	2420
478	2220	2415
479	2224	2410
480	2229	2405
481	2233	2400
482	2237	2395
483	2241	2389
484	2245	2384
485	2250	2379
486	2253	2373
487	2258	2369
488	2261	2363
489	2266	2359
490	2271	2354
491	2274	2348
492	2278	2343
493	2282	2338
494	2286	2333
495	2290	2327
496	2294	2321
497	2298	2316
498	2301	2311
499	2306	2306
500	2311	2301
501	2315	2297
502	2319	2291
503	2323	2286
504	2327	2281
505	2331	2276
506	2335	2271
507	2340	2266
508	2344	2261
509	2347	2255
510	2351	2249
511	2355	2244
512	2358	2239
513	2362	2233
514	2366	2228
515	2370	2223
516	2375	2219
517	2379	2213
518	2383	2208
519	2387	2203
520	2391	2198
521	2395	2193
522	2400	2189
523	2404	2184
524	2408	2178
525	2412	2173
526	2416	2168
527	2420	2163
528	2424	2158
529	2428	2153
530	2432	2148
531	2436	2143
532	2441	2138
533	2445	2134
534	2449	2129
535	2454	2124
536	2458	2119
537	2462	2114
538	2467	2110
539	2471	2105
540	2475	2100
541	2479	2095
542	2484	2090
543	2487	2085
544	2492	2080
545	2497	2076
546	2501	2071
