iter	Logloss
0	0.6340958411
1	0.581216
2	0.5327005428
3	0.4915049717
4	0.4551105959
5	0.4219559089
6	0.3923332654
7	0.3658714234
8	0.3433904505
9	0.3236624749
10	0.3035614241
11	0.2849680483
12	0.2690800825
13	0.2557319985
14	0.2477793854
15	0.2367592533
16	0.2258125519
17	0.2158593789
18	0.2077087855
19	0.2003535593
20	0.1937247472
21	0.1877585326
22	0.1812394333
23	0.1756659263
24	0.1703692794
25	0.1673498809
26	0.163911096
27	0.1596920159
28	0.1558646422
29	0.1528687945
30	0.1496399001
31	0.1471669015
32	0.1453142289
33	0.1434757325
34	0.1413615716
35	0.140303435
36	0.1377258849
37	0.1353899316
38	0.1331992481
39	0.1314781406
40	0.1297543063
41	0.128108528
42	0.1264586287
43	0.1248910197
44	0.123268797
45	0.1216534482
46	0.1201558244
47	0.1187324725
48	0.1173173065
49	0.1159500186
50	0.1149122561
51	0.113468837
52	0.1122116819
53	0.1107102477
54	0.1104527244
55	0.1093999756
56	0.1083790558
57	0.1075642005
58	0.1069172439
59	0.1061513966
60	0.105294627
61	0.1042823022
62	0.1036718902
63	0.1027410351
64	0.1017872193
65	0.1008517921
66	0.09992783807
67	0.09917268963
68	0.09834653974
69	0.09769675937
70	0.09746234781
71	0.09681335395
72	0.09621110333
73	0.09587249583
74	0.09584945222
75	0.09582735709
76	0.09505251506
77	0.09503154742
78	0.09501145431
79	0.09418047961
80	0.09364784748
81	0.09289084496
82	0.09245008995
83	0.09243150358
84	0.09166857439
85	0.09116513529
86	0.09046985593
87	0.09006900734
88	0.08958166819
89	0.08894857844
90	0.08882736866
91	0.08827518905
92	0.08766273114
93	0.08764422321
94	0.08717065662
95	0.08702745049
96	0.0866351502
97	0.08657226239
98	0.08631355425
99	0.08581031901
100	0.08503345127
101	0.08459858239
102	0.08429086243
103	0.08371740019
104	0.08322321166
105	0.0830267118
106	0.08272502546
107	0.08239273836
108	0.08230651358
109	0.08178171534
110	0.08131024637
111	0.08120674401
112	0.08076343976
113	0.08015875709
114	0.07940241647
115	0.07893895697
116	0.0788923963
117	0.07821582577
118	0.0777140851
119	0.07727565385
120	0.07685592737
121	0.07651254914
122	0.07606752292
123	0.07552262362
124	0.07548382506
125	0.07547342966
126	0.0750495164
127	0.07491019871
128	0.074769468
129	0.07467114452
130	0.07420662398
131	0.07407958983
132	0.07362294588
133	0.07321287621
134	0.07318379549
135	0.07289065356
136	0.07271842957
137	0.07230895631
138	0.07196164794
139	0.07163798605
140	0.07128624355
141	0.07124287002
142	0.0707207042
143	0.07040784135
144	0.06979655094
145	0.06961126155
146	0.06960455543
147	0.06931526745
148	0.06926680987
149	0.06907704801
150	0.06885513809
151	0.06849079897
152	0.06834340964
153	0.06795428788
154	0.06752726958
155	0.06729843061
156	0.06712389353
157	0.0669260103
158	0.06642004592
159	0.06616067733
160	0.06592910334
161	0.06588318522
162	0.06571630908
163	0.06534710156
164	0.06515762733
165	0.06508104546
166	0.06481719204
167	0.06460392344
168	0.06440087415
169	0.06405421291
170	0.0638258487
171	0.06362133202
172	0.06318587983
173	0.06292410759
174	0.06274211577
175	0.0627258219
176	0.06241463088
177	0.06227875681
